source,network,op,metric,unit,count,mean,median,p95,p99,min,max
registry,arbitrum,publishVersion,l2ExecutionFeeWei,wei,5,2422196488400.000000,2420260000000.000000,2426312052000.000000,2426312052000.000000,2420260000000.000000,2426312052000.000000
registry,arbitrum,publishVersion,l1DataFeeWei,wei,5,28153636800.000000,28240000000.000000,28631444000.000000,28631444000.000000,27740000000.000000,28631444000.000000
registry,arbitrum,publishVersion,totalFeeWei,wei,5,2450350125200.000000,2448891444000.000000,2454228792000.000000,2454228792000.000000,2448000000000.000000,2454228792000.000000
registry,arbitrum,publishVersion,serializedTxBytes,bytes,5,338.000000,338.000000,338.000000,338.000000,338.000000,338.000000
registry,base,revokeVersion,gasUsed,gas,5,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000
registry,base,revokeVersion,txConfirmMs,ms,5,82.105925,82.029792,85.184583,85.184583,79.486167,85.184583
registry,base,revokeVersion,l2ExecutionUsd,USD,5,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724
registry,base,revokeVersion,l1DataUsd,USD,5,0.000008,0.000008,0.000009,0.000009,0.000008,0.000009
registry,base,revokeVersion,totalUsd,USD,5,0.000733,0.000733,0.000733,0.000733,0.000733,0.000733
registry,base,revokeVersion,l2ExecutionFeeWei,wei,5,317322000000.000000,317322000000.000000,317322000000.000000,317322000000.000000,317322000000.000000,317322000000.000000
registry,base,revokeVersion,l1DataFeeWei,wei,5,3718764987.600000,3668661672.000000,3793919961.000000,3793919961.000000,3668661672.000000,3793919961.000000
registry,base,revokeVersion,totalFeeWei,wei,5,321040764987.599976,320990661672.000000,321115919961.000000,321115919961.000000,320990661672.000000,321115919961.000000
registry,base,revokeVersion,serializedTxBytes,bytes,5,304.000000,304.000000,304.000000,304.000000,304.000000,304.000000
registry,scroll,revokeVersion,gasUsed,gas,5,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000
registry,scroll,revokeVersion,txConfirmMs,ms,5,82.105925,82.029792,85.184583,85.184583,79.486167,85.184583
registry,scroll,revokeVersion,l2ExecutionUsd,USD,5,0.000014,0.000014,0.000014,0.000014,0.000014,0.000014
registry,scroll,revokeVersion,l1DataUsd,USD,5,0.007541,0.007541,0.007541,0.007541,0.007541,0.007541
registry,scroll,revokeVersion,totalUsd,USD,5,0.007555,0.007555,0.007555,0.007555,0.007555,0.007555
registry,scroll,revokeVersion,l2ExecutionFeeWei,wei,5,6352151796.000000,6352151796.000000,6352151796.000000,6352151796.000000,6352151796.000000,6352151796.000000
registry,scroll,revokeVersion,l1DataFeeWei,wei,5,3303576912027.000000,3303576912027.000000,3303576912027.000000,3303576912027.000000,3303576912027.000000,3303576912027.000000
registry,scroll,revokeVersion,totalFeeWei,wei,5,3309929063823.000000,3309929063823.000000,3309929063823.000000,3309929063823.000000,3309929063823.000000,3309929063823.000000
registry,scroll,revokeVersion,serializedTxBytes,bytes,5,305.000000,305.000000,305.000000,305.000000,305.000000,305.000000
registry,arbitrum,revokeVersion,gasUsed,gas,5,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000,52887.000000
registry,arbitrum,revokeVersion,txConfirmMs,ms,5,82.105925,82.029792,85.184583,85.184583,79.486167,85.184583
registry,arbitrum,revokeVersion,l2ExecutionUsd,USD,5,0.002421,0.002416,0.002443,0.002443,0.002415,0.002443
registry,arbitrum,revokeVersion,l1DataUsd,USD,5,0.000056,0.000056,0.000056,0.000056,0.000056,0.000056
registry,arbitrum,revokeVersion,totalUsd,USD,5,0.002477,0.002472,0.002500,0.002500,0.002470,0.002500
registry,arbitrum,revokeVersion,l2ExecutionFeeWei,wei,5,1060595898000.000000,1058374644000.000000,1070432880000.000000,1070432880000.000000,1057845774000.000000,1070432880000.000000
registry,arbitrum,revokeVersion,l1DataFeeWei,wei,5,24471964800.000000,24362436000.000000,24708348000.000000,24708348000.000000,24360000000.000000,24708348000.000000
registry,arbitrum,revokeVersion,totalFeeWei,wei,5,1085067862800.000000,1082840418000.000000,1095141228000.000000,1095141228000.000000,1082205774000.000000,1095141228000.000000
registry,arbitrum,revokeVersion,serializedTxBytes,bytes,5,305.000000,305.000000,305.000000,305.000000,305.000000,305.000000
registry,base,transferOwnership,gasUsed,gas,5,31021.000000,31021.000000,31021.000000,31021.000000,31021.000000,31021.000000
registry,base,transferOwnership,txConfirmMs,ms,5,82.093958,82.762166,85.604958,85.604958,77.048375,85.604958
registry,base,transferOwnership,l2ExecutionUsd,USD,5,0.000425,0.000425,0.000425,0.000425,0.000425,0.000425
registry,base,transferOwnership,l1DataUsd,USD,5,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009
registry,base,transferOwnership,totalUsd,USD,5,0.000433,0.000433,0.000434,0.000434,0.000433,0.000434
registry,base,transferOwnership,l2ExecutionFeeWei,wei,5,186126000000.000000,186126000000.000000,186126000000.000000,186126000000.000000,186126000000.000000,186126000000.000000
registry,base,transferOwnership,l1DataFeeWei,wei,5,3775084102.600000,3724221993.000000,3851377267.000000,3851377267.000000,3724221993.000000,3851377267.000000
registry,base,transferOwnership,totalFeeWei,wei,5,189901084102.600006,189850221993.000000,189977377267.000000,189977377267.000000,189850221993.000000,189977377267.000000
registry,base,transferOwnership,serializedTxBytes,bytes,5,239.000000,239.000000,239.000000,239.000000,239.000000,239.000000
registry,scroll,transferOwnership,gasUsed,gas,5,31021.000000,31021.000000,31021.000000,31021.000000,31021.000000,31021.000000
registry,scroll,transferOwnership,txConfirmMs,ms,5,82.093958,82.762166,85.604958,85.604958,77.048375,85.604958
registry,scroll,transferOwnership,l2ExecutionUsd,USD,5,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009
registry,scroll,transferOwnership,l1DataUsd,USD,5,0.005896,0.005896,0.005896,0.005896,0.005896,0.005896
registry,scroll,transferOwnership,totalUsd,USD,5,0.005905,0.005905,0.005905,0.005905,0.005905,0.005905
registry,scroll,transferOwnership,l2ExecutionFeeWei,wei,5,3725870268.000000,3725870268.000000,3725870268.000000,3725870268.000000,3725870268.000000,3725870268.000000
registry,scroll,transferOwnership,l1DataFeeWei,wei,5,2583139052027.000000,2583139052027.000000,2583139052027.000000,2583139052027.000000,2583139052027.000000,2583139052027.000000
registry,scroll,transferOwnership,totalFeeWei,wei,5,2586864922295.000000,2586864922295.000000,2586864922295.000000,2586864922295.000000,2586864922295.000000,2586864922295.000000
registry,scroll,transferOwnership,serializedTxBytes,bytes,5,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000
registry,arbitrum,transferOwnership,gasUsed,gas,5,31021.000000,31021.000000,31021.000000,31021.000000,31021.000000,31021.000000
registry,arbitrum,transferOwnership,txConfirmMs,ms,5,82.093958,82.762166,85.604958,85.604958,77.048375,85.604958
registry,arbitrum,transferOwnership,l2ExecutionUsd,USD,5,0.001420,0.001420,0.001426,0.001426,0.001416,0.001426
registry,arbitrum,transferOwnership,l1DataUsd,USD,5,0.000053,0.000053,0.000053,0.000053,0.000053,0.000053
registry,arbitrum,transferOwnership,totalUsd,USD,5,0.001473,0.001473,0.001480,0.001480,0.001469,0.001480
registry,arbitrum,transferOwnership,l2ExecutionFeeWei,wei,5,622070317200.000000,621909008000.000000,624762940000.000000,624762940000.000000,620420000000.000000,624762940000.000000
registry,arbitrum,transferOwnership,l1DataFeeWei,wei,5,23300937600.000000,23260000000.000000,23406538000.000000,23406538000.000000,23260000000.000000,23406538000.000000
registry,arbitrum,transferOwnership,totalFeeWei,wei,5,645371254800.000000,645169008000.000000,648169478000.000000,648169478000.000000,643680000000.000000,648169478000.000000
registry,arbitrum,transferOwnership,serializedTxBytes,bytes,5,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000
registry,anvil,verifyVersion,rpcLatencyMs,ms,5,14.387117,14.358625,15.238167,15.238167,12.922500,15.238167
sigstore,rekor-public,fetchLogInfo,latencyMs,ms,50,449.405052,285.665458,1548.142125,1945.739792,196.314333,1945.739792
sigstore,rekor-public,searchByHash,latencyMs,ms,50,247.566565,208.580459,469.373541,614.235333,162.931208,614.235333
sigstore,rekor-public,fetchLogEntry,latencyMs,ms,50,403.429057,305.149125,1033.655375,1193.166083,200.010125,1193.166083
